userReview,score,thumbsUpCount,reviewCreatedVersion,review_datetime,replyContent,repliedAt,sentimentRating,sentimentScore
🤩🔥,5,10,1.2.5,13-01-2022 22:37,"Hey Siddharth! We are aware of the issue and have already pushed out a fix for it. Rest assured, you ITR has been correctly filed. For any further information, you can reach out to us at help@quicko.com.",04-01-2022 10:32,1 star,0.308577776
Not working at all. App is just stuck after I enter my Pan Card number. Reloads on continue. That's it,5,2,1.2.5,12-01-2022 17:53,"Hi Varun, our servers were hot with all the attention and love we got. The issue is now resolved and we are back to serving taxpayers like you. Requesting you to try again now. :)",24-12-2021 18:58,1 star,0.768283606
Waist,1,0,,08-01-2022 06:12,"Hey Nitin! Nachiketa here, the developer on glyde. We  would love to help you out with any issue you might me facing. Would you please elaborate on what seems to be the problem?",08-01-2022 08:31,1 star,0.276438475
A simple tool for complex data.,4,1,1.2.0,06-01-2022 14:47,"Hey Lakshay, our servers were overwhelmed by all the attention we got from taxpayers trying to file their returns. We are back up now. Would love for you to try it again and let us know how we did this time around :)",24-12-2021 16:17,4 star,0.463727087
Doesn't work. Not able to go past the PAN entry,3,1,,04-01-2022 10:34,"Hi, our servers were overwhelmed with all the attention we got from taxpayers like you trying to file their returns. We are back up and running smoothly now. Can you give it another shot and let us know how we did this time around?",24-12-2021 15:52,1 star,0.815425932
"blogs are not upto date, example cryptocurrency.",2,1,1.2.5,03-01-2022 11:41,,,1 star,0.413959384
"After entering pan details, it shows my name saying make sure it’s you. After that nothing happens. No next or something like it either. Tried for 10 days , but nothing happened. No support either.",1,5,1.2.5,02-01-2022 21:48,"Hey Vijayalakshmi! Nachiketa here, the developer on glyde. Our onboarding seems to be working fine right now. We would love to help you out with your situation. You can reach out to us at help@quicko.com and we can work out any difficulty you might be facing.",02-01-2022 23:33,1 star,0.787225068
No option to add mutual fund capital gains.,1,0,1.2.5,02-01-2022 11:12,,,1 star,0.521921813
We need integration with Groww.,4,1,1.2.4,01-01-2022 17:38,,,3 star,0.324222505
"Ok finally was able to file my returns. But it was constant checking, updating app numerous times. Hope yhe fixes now will help file taxes easily next year. I'll give a 5 star if the experience next year is smooth. There were a lot of hiccups this year.",3,8,1.2.4,01-01-2022 13:47,"Hey Bujji, we have published a fix for the issue you were facing. Thank you for your patience!",31-12-2021 15:07,4 star,0.655782342
3 min me ITR bhar gaya....wow amazing app loved it,5,0,1.2.4,31-12-2021 14:45,,,5 star,0.868469417
most of the time coming some error and error resolution can't rectify easily and face too much problem.,2,1,1.2.4,31-12-2021 12:30,"Hey Mazharul, Nachiketa here. We would love to help you out with your situation. Could you please expand on the issue you faced? For any further assistance, you can drop us a mail at help@quicko.com!",31-12-2021 12:36,2 star,0.486797929
So easy and simple to file ITR using the app. But sometimes will take lot of time to move to next page or to login.,3,0,1.2.3,31-12-2021 11:40,,,4 star,0.505058646
Fantastic App for ITR filling. Loved the easy interface and smooth functioning. keep it up...,5,0,1.2.4,31-12-2021 11:00,,,5 star,0.77938664
Not going ahead after entering Pan card no. This issue now resolved for me. Thank you team Quicko.,3,0,1.2.4,30-12-2021 21:32,"Hi Yogesh, our servers are hot trying to accommodate taxpayers like you. Our team is working on resolving the issue as we speak. Requesting you to try again once more :)",24-12-2021 20:29,1 star,0.577961028
Super amazing. Pretty quick and easy.,5,0,1.2.4,30-12-2021 19:41,,,5 star,0.901739955
the app is really great.. 👌..just add option for deduction for educational tution fee payment in 80c,4,1,1.2.4,30-12-2021 17:06,,,5 star,0.647597671
"Problem automatically solved, don't know how. ---------+ After filling all things, on clicking let's file. After filling credentials of income tax account, it shows Account login required error. And comes back 3-4 times. 5 times it solved.",3,5,1.2.3,30-12-2021 13:41,"Hey Nitin! Nachiketa here, the developer on glyde. Are you facing this issue every time you try to e-file? For any further assistance, you can reach out to help@quicko.com and we'd be happy to help you glyde better.",30-12-2021 13:31,1 star,0.533976614
Great work.,5,0,0.1.1,30-12-2021 09:28,,,5 star,0.723089039
Amazing interface and easy to use,5,0,1.2.2,29-12-2021 18:00,,,5 star,0.808392465
"Filed my first ITR, great experience",5,0,1.2.2,29-12-2021 17:32,,,5 star,0.790770054
One of the coolest UI and easy-to-use application. It not only helps computing taxes and filing ITR in minutes but also lets you verify the same within seconds.,5,2,1.2.2,29-12-2021 09:19,,,5 star,0.851911247
absolutely stunning. just took me 15 to 20 mins and everything is automated 😍 love this app 🙏🏻,5,0,1.2.1,28-12-2021 19:36,,,5 star,0.974190235
Amazing,5,0,1.2.1,27-12-2021 21:29,,,5 star,0.842664242
"It's Awesome app, i do recommend this, super, very good one",5,0,1.2.1,27-12-2021 11:49,,,5 star,0.812831819
Very poor,1,0,1.2.1,27-12-2021 00:45,Hey there. Could you please elaborate on the issue? We would love to hear about your experience with the app and help with any hurdles you might have faced using it.,27-12-2021 07:44,1 star,0.692726851
closes/crashes/throws errors often. Super early stage but I'm super excited for what it CAN BE.,3,1,1.2.1,26-12-2021 12:55,,,2 star,0.42956087
"Scrap, annoying , nothing is happening after entering pan , it's simply says Something went wrong , we are working , report of the bug has been submitted , next day it's ask you update the app , if you try to update it won't update it just says downloading and intalling it breaks again it says please udate samething will be in loop in won't allow you exit of the app too annoying, waste of time , I believe this app has been deployed to collect pan details only nothing else ,scrap",1,19,1.2.1,26-12-2021 09:14,"Hey Suresh! We are sorry for the inconvenience that was caused. The updates we push ensure that users get the best possible experience using the app. We have identified the issue that you might be facing and have already worked out a fix for the same. For any further assistance, you can reach out to us at help@quicko.com",27-12-2021 19:59,1 star,0.860826969
Logging in still a hassle. I tried OTP aadhaar option . Not working.,1,0,,25-12-2021 22:38,"Hello Venkatesh! Nachiketa here, the developer on glyde. We had faced some downtime from ITD on the aadhaar OTP login route. It is working now so you should be able to get back to filing your taxes! For any further assistance, you can reach out to us at help@quicko.com and we'll be happy to assist you glyde better.",27-12-2021 20:14,1 star,0.63533473
Simple. Good.,4,0,1.2.1,25-12-2021 19:38,,,4 star,0.521880567
"Filing is so easy, it happened in secs",5,0,1.2.0,25-12-2021 17:00,,,5 star,0.473805785
super easy to file tax.. initially the p&l fetched report was wrong.. had to redo it again.. some technical glitches though..hope they address those down the line..,5,0,1.2.0,25-12-2021 10:42,,,4 star,0.667154312
it's simple and easy to read option.. I like it,4,0,1.2.0,25-12-2021 10:06,,,4 star,0.566399932
Yes they made it work. 🤩🤩,5,1,1.2.0,25-12-2021 08:35,"Hi Abhisek, we are sorry, our first impression wasn't that great. Some of you faced issues while signing up & others while onboarding. We are back up and stronger now. Would love for you to try it again and let us know how we did this time around :)",24-12-2021 17:28,5 star,0.389618158
"Changing my review, you guys are back with a bang after initial glitch.. best wishes",5,0,1.2.0,25-12-2021 01:31,"Hi Jason, we are sorry - our first impression wasn't that great. Some of you faced issues while signing up & others while onboarding. We are back up now. Would love for you to try it again. If we are able to meet your expectations, do give us a thumbs up :)",24-12-2021 15:54,4 star,0.267233849
not clear what's going on,3,0,1.2.0,24-12-2021 22:13,"Hi Dinesh. Nachiketa here, the developer on glyde. I would love to help you with any issue you are facing with the app. You can also reach out to us at help@quicko.com for any issue you might face.",25-12-2021 11:34,3 star,0.34727639
"Worst application I have ever seen, most important application don't accept my PAN, it means this application is not for me. WHY?",1,0,1.2.0,24-12-2021 19:34,"Hi Aabhas. We have addressed the issue with our onboarding. If you are still facing an issue with getting started, you can reach out to us at help@quicko.com.",25-12-2021 10:49,1 star,0.903169513
Yeah its good . At first I was stuck but thank you to the developer .. resolved my issues,4,1,1.2.0,24-12-2021 18:45,"Hi Tulsinath, our servers are hot with all the attention and love we got. We are resolving the issue to serve taxpayers like you. Requesting you to try again.",24-12-2021 18:39,4 star,0.483479649
Rating it 1 because it's not working at all.. when I am putting my Pan number it's not even moving to the next page. I don't know is it because I am first time filing ITR or not? I will change the rating Glyde if you guys can help me here before 31st dec. P.s- Changing it to 5 star as it is awesome and now working fine. Filed my ITR with a single click.,5,1,1.2.0,24-12-2021 18:06,"Hey Arnab, we are sorry, our first impression wasn't that great. Some of you faced issues while signing up & others while onboarding. We are back up now. 31st Dec. is still the due date and we are here to help you. Would love for you to try it again. If we are able to meet your expectations, do give us a thumbs up :)",24-12-2021 17:35,1 star,0.699412227
First attempt: Onboarding failed at Enter PAN. The team quickly responded and informed about a surge in new users creating a snag at their servers. Second try: Onboarding went smoothly. Really like the interface and the available options on the app. Some of the features from their Website are marked as coming soon. Can't wait to use these for the next tax cycle.,4,13,1.2.0,24-12-2021 17:48,Hey Rohit! Our servers hit a bit of a snag with all the taxpayers like you onboarding onto the app. We have addressed the issue; we are hoping you'd give us another shot and tell us how we did!,24-12-2021 17:34,4 star,0.373791695
Easy and quick..loved it,5,0,1.2.0,24-12-2021 17:10,"Hi, we are sorry, our first impression wasn't that great. Some of you faced issues while signing up & others while onboarding. We are back up now. Would love for you to try it again. If we are able to meet your expectations, do give us thumbs up :)",24-12-2021 16:02,5 star,0.730920315
Issue resolved,4,6,1.2.0,24-12-2021 16:10,Hi Abhishek! We hit a few bumps yesterday onboarding a whole bunch of people wanting to try the app out. We have fixed all the issues are back up so do give us another shot!,24-12-2021 16:03,3 star,0.301084369
"Can't signup, after entering pan details, it just keeps on loading and nothing happens",5,0,1.2.0,24-12-2021 16:07,Hello Gaurav! Our servers got a bit too excited yesterday from all the attention and we had some issues with our onboarding. Everything is back up and running better than ever so you can glyde through your taxes!,24-12-2021 16:05,1 star,0.522987723
"It's not accepting my PAN card. When I input my PAN card it says something not right. **It worked later, so raising the stars. Yet to utilise the platform.",4,1,1.2.0,24-12-2021 15:54,"Hey Anish, got a lot of attention from taxpayers like you trying to file their returns. We are up and running now. Can you give it another shot and let us know if we met your expectations :)",24-12-2021 15:49,2 star,0.398940712
"AD video looks promising but am stuck right on page1, when i enter my PAN, It doesn't let me goto next step, noway to reach support there too apart from writing a review question on playstore hoping support looks in. Update: resolution from support, mentioning load, seems working now, still exploring",2,7,1.2.0,24-12-2021 14:12,Hey Vignesh! Thanks for checking the app out. Our servers are running hot with taxpayers like you wanting to check out the app. Please try again some time later.,23-12-2021 12:49,3 star,0.397353441
thousand times i clicked CONTINUE after entering my pan no but it's stuck there only.. thanks for solving the issue.. i filed my ITR yesterday without facing any resistance,5,1,1.2.0,24-12-2021 13:38,"Hey Tejeshwar, we are sorry - our first impression wasn't that great. Some of you faced issues while signing up and others while onboarding. We are back up and stronger now. How about giving it another shot and giving us a thumbs up if you think we did better :)",24-12-2021 13:16,1 star,0.394965947
Extremely useful. User friendly. Very clean interface Thanks Quicko.,5,0,1.2.0,24-12-2021 10:46,,,5 star,0.797870517
"Taxes on trading are always confusing, thanks for making them simple. Great work. Looking forward to more such work.",5,3,1.2.0,24-12-2021 06:46,,,5 star,0.690747678
"Easy to use, was able to file my taxes in a snap😊",5,0,1.2.0,24-12-2021 06:44,,,5 star,0.610532761
This app would really help me file taxes as I'm really unaware of the concept. Kudos!,5,0,1.2.0,24-12-2021 06:02,,,1 star,0.572490692
"""Reveice"" you mean receive right ? Very unpolished app! Atleast check the grammar at the OTP page.",1,0,1.2.0,24-12-2021 00:34,Hey Madhav! We missed that. Thankfully we have awesome users like you who keep us on our toes!,24-12-2021 11:37,1 star,0.685654581
Thank you it's done,5,0,1.2.0,23-12-2021 23:43,"Hey Sachin, We were experiencing some downtime. Some of you faced issues while signing up & others while onboarding. But we are now up and running. Requesting you to try again now, hoping we'd meet your expectations with a more seamless experience this time around.",23-12-2021 18:14,5 star,0.586885273
Never thought filing tax would be so easy. First time I didn't on my own. Amazing UI experience and anyone can understand easily.,5,6,1.2.0,23-12-2021 22:50,,,5 star,0.841555297
THANK YOU SO MUCH GLYDE AND ZERODHA,5,0,1.2.0,23-12-2021 22:47,,,5 star,0.445206106
looks promising.,5,0,1.2.0,23-12-2021 22:45,,,4 star,0.445753485
"amazing, very easy, very smooth",5,0,1.2.0,23-12-2021 21:57,,,5 star,0.892455041
nice,5,0,1.2.0,23-12-2021 21:51,,,4 star,0.436840951
Good one 👍,5,0,1.2.0,23-12-2021 21:36,,,4 star,0.495439321
superb and easy to use. User friendly app👍,5,0,1.2.0,23-12-2021 21:29,,,5 star,0.835123777
Worst app .. after entering pan number enable to move to next process,1,0,,23-12-2021 20:52,Hey Abhilash! We are sorry for the less-than-stellar onboarding experience. We have fixed the issue and are hoping you'd give us another shot!,24-12-2021 17:36,1 star,0.811364174
Filling the tax has never been easy!,5,0,1.2.0,23-12-2021 20:34,,,2 star,0.239715889
phenomenal!,5,0,1.2.0,23-12-2021 19:36,,,5 star,0.912407696
I have some STCG ammount but this App showing STCG 0 (after connecting with zerodha). This app always have some problems. First completely build this app then upload on Play Store.,1,0,1.2.0,23-12-2021 19:20,"Hey Bhanu, are you sure you have Short Term Gains in previous FY? Lot of taxpayers confuse data for current FY (FY 2021-22) for previous FY (FY 2020-21). If you still have some doubts, feel free to drop us a message on support@quicko.com.",23-12-2021 19:58,1 star,0.423965096
Information is not reliable. The app says ITR is pending while I have already filed the ITR a month ago and got acknowledgement as well.,1,0,1.2.0,23-12-2021 18:57,"Hey Amit, glyde tells you your filing history with us. In case you filed your ITR somewhere else, we don't have access to the same. You can however file revised ITR in case you have already filed somewhere else.",23-12-2021 20:00,1 star,0.624702275
"Awesome Experience, 1st time I filed and no hassle at all.",5,0,1.2.0,23-12-2021 18:33,,,5 star,0.950616181
Not detecting my PAN number,5,1,1.2.0,23-12-2021 18:19,"Hey Hussain, we got a lot of attention and servers were experiencing some downtime. glyde is up and even stronger now. Can you give it another try again? And show us some love if we met your expectations :)",23-12-2021 18:15,1 star,0.461296469
This App is the future of Filing Income tax return directly from your phone. App simplified the process to a greater extent. I will not visit my CA for ITR filing anymore. It will also save my time & CA Charges 😉👍🏻,5,3,1.2.0,23-12-2021 17:59,"Hey Siddharth, we are ""glyde"" we could help you with your taxes. Thanks a ton for the cheers. Our team needed it today :)",23-12-2021 18:49,1 star,0.300171345
"Trying to file ITR from last 5 days, everything is complete but the quicko team not able to clear the bug",1,0,1.2.0,23-12-2021 17:52,Hey Ravikant! We are sorry for the inconvenience. You can reach out to us at support@quicko.com and we'll help you with your situation.,23-12-2021 17:57,1 star,0.355574638
This app won't works,1,0,,23-12-2021 17:46,"Hey, Gagan. Can you please elaborate on the issue so that we may help you better?",23-12-2021 17:36,1 star,0.77467525
good,5,0,1.2.0,23-12-2021 17:35,,,4 star,0.496963173
"It's Absolutely Awesome,Simplified And Very User friendly",5,1,1.2.0,23-12-2021 17:30,,,5 star,0.912103713
So I've been postponing my tax filing for months and 'glyde' does it in less than 5 minutes. It auto fetched all my returns from stocks from the broker's app directly. Highly Recommended!,5,2,1.2.0,23-12-2021 17:22,,,5 star,0.833497167
it's working nice one swipe is enough to do it was very helpful application from zerodha happy to be with zerodha😊,4,1,1.2.0,23-12-2021 17:12,,,5 star,0.495333701
Never thought taxes could be this easy. It really simple to onboard. Can't wait for new features like they promised. Way to go team!,5,5,,23-12-2021 16:54,,,5 star,0.567753494
"Sign up is not happening after multiple attempts. App does not accept genuine PAN number and stays on ""verify that's you"" screen",1,0,1.2.0,23-12-2021 16:28,Hi Aakash. Our servers were a bit too hot from all the attention from people trying to onboard yesterday. We have since addressed the issue and are back up better than every. Do consider giving us another shot and tell us how we did!,24-12-2021 17:37,1 star,0.640648603
"Does not accept my PAN no.and just stops there. Pathetic ! Something untested like this from Zerodha, dilutes Zerodha's reputation.",1,0,1.2.0,23-12-2021 16:14,Hey Surendra! Our servers got a bit too hot from all the attention 😅. We are hard at working addressing the issue.,23-12-2021 16:16,1 star,0.943598986
Not able to enter the application itself as app is not able to recognise my PAN itself. Please check this issue,1,0,1.2.0,23-12-2021 16:01,Hey Dhruv! We had some bumps yesterday with our onboarding which have been addressed. We'd be glad if you give us another shot and tell us how we did!,24-12-2021 17:51,1 star,0.593720496
"Whenever i try to register on this app and fill v PAN number, it always say that this is wrong number please fill correct pan number. I tried using my family's pan number but probelm remains the same. Not worth when u cant even register on this app. Zero star.",1,20,1.2.0,23-12-2021 15:39,"Hey Ashpreet, we were experiencing increased traffic (and attention) on our servers. We are resolving it to accommodate taxpayers like you. We are sorry for the poor experience you had. Can you please give it another shot? and let us know how we did this time around :)
",24-12-2021 17:38,1 star,0.990368903
Unable to login,1,0,1.2.0,23-12-2021 15:15,Hi Paritosh. Yesterday was a bit bumpy with a whole lot of taxpayers like you trying to check the app out. We are back up and running at full steam and are hoping you'd give glyde another try.,24-12-2021 17:53,1 star,0.648616195
Stuck at could not save your details.,1,0,1.2.0,23-12-2021 15:14,Hello. Our servers were a bit too hot from all the sudden attention we got yesterday. We are back up better than ever and ready to help you glyde through your taxes. Do tell us how we did!,24-12-2021 17:54,1 star,0.417236209
Not accepting my PAN number!!,1,0,1.2.0,23-12-2021 15:14,Hey Abhijit! Our servers got a bit too hot from all the attention 😅. Please try again in some time!,23-12-2021 15:15,1 star,0.681519866
"After filling in the pan number , it is showing can not save your details",1,0,1.2.0,23-12-2021 15:13,"Hi Shivam! Our servers got a bit too hot from all taxpayers like you trying to file their taxes. Please try again, let us know how we did.
",23-12-2021 20:08,3 star,0.257070631
"There is no rating less than one star so finding a problem to rate this one, keep on saying wrong PAN every time I entered correct one",1,0,,23-12-2021 15:13,Hey Shrivi! We got off on the wrong foot. We are back up and running at full steam. You can now glyde through your taxes without any issue.,23-12-2021 19:04,1 star,0.96825701
Not working for me. When I enter my PAN it is saying it is wrong !!,1,0,1.2.0,23-12-2021 15:00,Hey Abdulla! Our servers got a bit too hot from all the attention 😅. Please try again in some time!,23-12-2021 15:00,1 star,0.668132901
Worst app,1,0,1.2.0,23-12-2021 14:59,Hey. We are sorry for the less-than-stellar experience you had with our app yesterday. Our servers got a bit too hot from all the attention we got. We have since addressed the issue and are back up better than ever. Hope you give us another shot and tell us how we did!,24-12-2021 17:56,1 star,0.891412675
Not picking the pan card,1,0,1.2.0,23-12-2021 14:56,Hey Ankur! We have a bit of trouble with our onboarding due to a whole bunch of people trying to onboard onto our app. Everything is back up and running at full steam so you can glyde through your taxes and tell us how we did!,24-12-2021 18:35,1 star,0.479293317
first of all Pan number not recognized,1,0,1.2.0,23-12-2021 14:56,hey Bhargavi! we are back up and running at full steam! you can now glyde through your taxes easily!,23-12-2021 19:05,1 star,0.362918884
Not sure but it is not taking my correct pan number so can't even login to app,1,0,1.2.0,23-12-2021 14:56,"Hi Nikhil, our first impression wasn't that great. Some of you faced issues while signing up & others while onboarding. We are back up now. Would love for you to try it again. If we are able to meet your expectations, do give us a thumbs up :)",24-12-2021 15:58,3 star,0.422077
"Does not fetch details of valid PAN number, says Invalid",1,0,1.2.0,23-12-2021 14:54,Hello Iqbal ! Thanks for checking out the app. Looks like are servers got a bit too hot from all the attention 😅. You can try again in some time.,23-12-2021 14:56,1 star,0.750570714
"after entering Pan, error pop up.useless",1,0,1.2.0,23-12-2021 14:53,"Hi, We are sorry for the inconvenience caused. We have addressed all the issues and are back up! Do consider giving it another shot.",23-12-2021 19:06,1 star,0.869247437
"Can't pass onboarding. First error by snging in with Google, second error when entering PAN. Wonder why it's backed by zerodha. And they deleted my review once. So here it is again.",1,2,1.2.0,23-12-2021 14:39,"Hi Akash, We are sorry for the inconvenience caused. We have addressed all the issues and are back up! Do consider giving it another shot.",23-12-2021 19:07,1 star,0.636614084
"It was really a gylding experience, thanks a lot for the app.",5,0,1.2.0,23-12-2021 14:37,,,5 star,0.489099711
Ye Pan Number check nahi kar pa raha tax kya bharega,1,0,,23-12-2021 14:34,Hi Tannu! Our servers got a bit too stressed from all taxpayers like you trying to file their taxes. Please try again in some time!,23-12-2021 14:36,1 star,0.29460457
Useless it is not recognize my PAN,1,0,1.2.0,23-12-2021 14:34,"Hey Rahul, we are sorry, our first impression wasn't that great. Some of you faced issues while signing up & others while onboarding. We are back up now. Would love for you to try it again. If we are able to meet your expectations, do give us a thumbs up :)",24-12-2021 19:00,1 star,0.857217133
"It's not recognising the PAN number. It's saying always ""hmm. that's not right. let's try again""",1,0,1.2.0,23-12-2021 14:32,"Hi Ashwad! Our servers got a bit too hot from all taxpayers like you trying to file their taxes. We are back up and running smoothly now. Would love for you to give us another shot and let us know how we did :)

",23-12-2021 19:42,1 star,0.41032058
It's showing error when ever i tried to put my PAN no. What's the matter?,2,0,1.2.0,23-12-2021 14:28,Hey! We are now glyding at full steam. You can resume filing your taxes without any issue now.,23-12-2021 19:08,1 star,0.570902467
Failed to identify the pan itself in first step,1,0,1.2.0,23-12-2021 14:27,"Hi Gnana, our servers are hot with all the attention and love we got. We are resolving the issue to serve taxpayers like you. Requesting you to try again in now and let us know how was your experience?",24-12-2021 20:32,1 star,0.445903361
Thankyou for the quick reply. Looks like you guys are getting popular. Looks like a nice app with good UI. Egarly waiting to try it.,4,0,1.2.0,23-12-2021 14:26,"Hey, Anupam! Thanks for understanding. We are up and running at full steam again! You can resume glydeing through your taxes now!",23-12-2021 19:09,5 star,0.46813488
"Pathetic. Stuck at first step. Even after entering right PAN, app errors out saying its incorrect.",1,0,1.2.0,23-12-2021 14:26,Hello Mangesh! Thanks for checking out the app. Looks like are servers got a bit too stressed from all the attention 😅. You can try again in some time.,23-12-2021 14:28,1 star,0.894611835
Every time shows try agin when i enter the pan no.,2,0,1.2.0,23-12-2021 14:24,Hi Onkar! Our servers got a bit too hot from all taxpayers like you trying to file their taxes. Please try again in some time!,23-12-2021 14:25,1 star,0.544759333
Post entering pan no getting error message as try again error.,2,0,1.2.0,23-12-2021 14:18,hello Rohan! we are sorry for the inconvenience. we are back up and you can continue glyding through your taxes without any hassle!,23-12-2021 19:21,1 star,0.62111479
Not taking my pan no. It shows incorrect,1,0,1.2.0,23-12-2021 14:16,"Hi Rushil, we got a lot of attention and servers were experiencing some downtime. glyde is up and even stronger now. Can you give it another try again? And show us some love if we met your expectations :)
",24-12-2021 20:41,1 star,0.756707549
"Can't use the app, When it ask for PAN, i entered correct PAN number but it says ""hmm thats not right, lets try again""",1,0,1.2.0,23-12-2021 14:15,Hi! Our servers got a bit too hot from all taxpayers like you trying to file their taxes. Please try again in some time!,23-12-2021 14:16,1 star,0.484022349
Not fetching my details after providing pan card details.,1,0,1.2.0,23-12-2021 14:11,Hey Nikhil! Thanks for checking the app out. Our servers are running hot with taxpayers like you trying to file their taxes 😅. Please try again now and let us know how we did :),24-12-2021 17:37,2 star,0.406571269
Faltu app n support keep deleting my comments,1,0,1.2.0,23-12-2021 14:09,"Hey, Swapnil, Our servers ran too hot because of all the sudden attention 😅. We are back up now. We are always all ears for your feedback. Do let us know how we did this time around.",24-12-2021 13:25,1 star,0.432369709
It doesn't recognize Pan details n ask to verify it again n again,1,0,1.2.0,23-12-2021 14:08,Hey! Our servers got a bit too hot from all the attention 😅. Please try again in some time!,23-12-2021 14:13,1 star,0.558894694
Says my PAN is not right. I tried entering it like many times but how is that possible. Unless you don't support Indian PAN cards.,1,0,1.2.0,23-12-2021 14:04,Hey Fawad! We are back up and running at full steam. You should be able to glyde through your taxes without any issues now!,23-12-2021 19:23,1 star,0.401023686
Geeting an error while entering my pan number,1,0,1.2.0,23-12-2021 14:02,"Hi Jeetu, our servers are hot trying to accommodate taxpayers like you. Our team is working on resolving the issue as we speak. Requesting you to try again now and let us know how we did :)",24-12-2021 20:34,1 star,0.641116321
"When I enter my PAN number it says ""hmm that's not right please try again"" and I tried with the correct PAN NUMBER",1,0,1.2.0,23-12-2021 14:02,"Hey Athul, we are sorry, our first impression wasn't that great. Some of you faced issues while signing up & others while onboarding. We are back up now. Would love for you to try it again. If we are able to meet your expectations, do give us a thumbs up :)",24-12-2021 18:54,1 star,0.562076509
"I am getting ""hmm that's not correct"" after entering correct PAN number.",3,0,1.2.0,23-12-2021 14:02,"Hi Srishti! We are sorry for the bad first impression. We are back up and we'd be ""glyde"" to help you with your taxes!",23-12-2021 17:46,2 star,0.348068804
Not able to proceed as app is not able to recognize Pancard number.,2,0,1.2.0,23-12-2021 14:00,"Hi Prakash! We are back up and running, full steam ahead! Do consider checking us out!",23-12-2021 17:45,1 star,0.548883557
"It's saying that's not right,when I type in my PAN",1,0,1.2.0,23-12-2021 13:48,"hey akshay! we are sorry for the bad first impression. however, we are up and running again and we hope to help you glyde through your taxes!",23-12-2021 19:28,2 star,0.334614426
Says my pan number is wrong (I've checked multiple times) no option to do anything other than input pan,1,0,1.2.0,23-12-2021 13:48,"Hey Aditya, we are sorry, our first impression wasn't that great. Some of you faced issues while signing up & others while onboarding. We are back up now. Would love for you to try it again. If we are able to meet your expectations, do let us know how we did this time around :)",24-12-2021 20:34,1 star,0.653122485
"Pathetic , I am entering my pan it shows something not right. Waste of time.",1,0,1.2.0,23-12-2021 13:46,Hey Tushar! Thanks for checking the app out. Our servers are running hot with taxpayers like you wanting to check out the app. Please try again some time later.,23-12-2021 13:46,1 star,0.871713877
Unable to even enter the pan details to move forward,1,0,1.2.0,23-12-2021 13:46,Hi Mariappan! We were facing downtimes with our server but we are back up and running now. Ready to serve you. Requesting you to try again now.,24-12-2021 18:08,1 star,0.5059582
"Now it's asking pan no, even after entering correct pan no, it say couldn't sign in. Develop app properly before giving add on Zerodha. We trust Zerodha but ur app is useless. Not able to sign via Google, even after entering OTP it goes in hibernation mode. Useless app",1,9,1.2.0,23-12-2021 13:45,"Hey! We are sorry, our first impression wasn't that great. Some of you faced issues while signing up & others while onboarding. We are back up now. Would love for you to try it again. Do let us know if we are able to meet your expectations.",23-12-2021 18:53,1 star,0.775915504
Unable to update PAN - Showing incorrect after many times,2,0,1.2.0,23-12-2021 13:41,Hey Sandeep! Thanks for checking the app out. Our servers are running hot with taxpayers like you wanting to check out the app. Please try again some time later.,23-12-2021 13:42,1 star,0.481957555
"Can't even start with this app. Whenever i am entering my PAN i am getting error, this is not right. Very bad user experience.",1,0,1.2.0,23-12-2021 13:40,"Hey Avanindra, we are sorry, our first impression wasn't that great. Some users faced issues while signing up & others while onboarding. We are back up and even stronger now. Would love for you to try it again. If we are able to meet your expectations, do give us thumbs up.",23-12-2021 18:21,1 star,0.902329564
"After entering my pan, it says that's not right....🙄🙄",1,0,1.2.0,23-12-2021 13:40,Hi Akshat! Our servers got a bit too hot from all taxpayers like you trying to file their taxes. Please try again in some time!,23-12-2021 13:43,1 star,0.456428051
I have enterd my pan no app says thats not right lets try again,1,0,1.2.0,23-12-2021 13:40,"Hi Azad, We experienced downtime on our servers. The app is up and running now. Hoping you give us a chance to solve taxes for you and would love to know about your experience this time around :)
",24-12-2021 16:15,1 star,0.582276285
"My pan number shows me incorrect, I am several time but still show me incorrect",1,0,1.2.0,23-12-2021 13:40,Hey! Our servers got a bit too hot from all the attention 😅. Please try again in some time!,23-12-2021 13:44,2 star,0.30716598
Its saying my pan card isnt right. So plz tell me whats my correct pan card no. LoL,1,0,1.2.0,23-12-2021 13:40,Hi! We were facing downtimes with our server but we are back up and running now. Ready to serve you. Requesting you to try again now and let us know how we did this time around :),24-12-2021 20:36,1 star,0.378924906
"I am just starting the application and it took multiple attempts to signup with email or Google account. Now it is not accepting my PAN details and says ""let's try again"". I have tried multiple times. Not at all satisfied with the application.",1,3,1.2.0,23-12-2021 13:39,Hello Niteshkumar! Thanks for checking out the app. Looks like are servers got a bit too hot from all the attention 😅. You can try again in some time.,23-12-2021 13:43,1 star,0.603084147
on-boarding did not work as expected.,2,0,,23-12-2021 13:36,Hi Rakesh! Our servers got a bit too hot from all taxpayers like you trying to file their taxes. Please try again in some time!,23-12-2021 13:36,1 star,0.49690181
It asks enter your pan. I entered the PAN number and pressed continue then it says that's not right let's try again. This is happening in a loop,1,1,1.2.0,23-12-2021 13:36,"Hey Dhinu, We were experiencing increased traffic (and a lot of love and attention) on our servers. We are back up now. Please try now and we hope that you have a seamless experience. 🙂",24-12-2021 15:34,1 star,0.573389471
